geo,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Belgium,18.6,15.2,19.0,21.2,19.2,18.9,17.7,18.6,19.9,19.6
Bulgaria,30.2,23.4,14.5,14.2,12.8,11.8,12.4,12.8,12.3,12.0
Czechia,13.8,14.5,12.0,11.7,10.4,9.8,9.1,9.1,8.3,8.1
Denmark,9.2,8.5,8.7,17.1,19.3,17.9,16.6,17.5,17.4,16.3
Germany,14.8,14.9,14.4,14.8,14.8,14.4,13.7,14.4,14.1,13.6
Estonia,15.9,19.1,17.6,18.4,18.6,17.3,15.4,13.1,13.3,13.5
Ireland,11.4,12.9,12.6,10.6,12.9,14.6,14.6,13.4,13.4,:
Greece,17.5,16.9,16.4,14.4,14.7,13.6,13.1,15.1,14.6,13.6
Spain,16.5,17.7,21.3,15.8,12.0,16.6,17.2,15.4,15.8,11.7
France,13.3,12.6,12.6,11.4,13.2,13.1,14.0,12.7,14.5,11.6
Croatia,:,:,18.4,14.5,12.7,12.8,11.3,10.7,11.2,11.1
Italy,20.4,20.5,20.2,23.1,20.9,22.8,25.0,24.1,21.2,16.2
Cyprus,26.2,29.6,29.8,29.7,30.0,31.2,25.8,26.9,27.2,29.4
Latvia,25.1,25.3,24.2,26.2,28.1,27.7,27.4,24.4,21.5,23.0
Lithuania,23.9,20.8,19.0,18.6,18.0,19.8,19.0,16.9,17.7,14.7
Luxembourg,16.4,17.6,17.3,15.8,17.1,15.3,15.3,15.0,19.3,17.8
Hungary,29.7,13.7,22.9,20.9,23.3,25.9,26.2,24.8,26.4,23.9
Malta,6.6,9.2,11.2,8.6,9.5,10.8,10.2,9.2,7.7,7.4
Netherlands,16.3,14.9,16.0,15.5,17.0,16.9,16.6,17.1,17.4,14.6
Austria,13.5,15.1,15.1,14.0,12.0,12.7,10.1,11.9,11.6,12.4
Poland,22.3,17.2,15.2,11.1,10.4,10.1,9.2,12.0,11.8,12.3
Portugal,17.7,18.5,20.9,20.1,21.3,31.2,32.2,28.3,30.6,25.5
Romania,21.5,19.6,16.6,16.3,13.5,14.1,11.8,11.6,12.0,9.9
Slovenia,29.9,29.9,32.4,34.2,31.4,27.0,29.9,27.5,24.2,22.4
Slovakia,8.4,6.2,5.5,7.1,8.2,6.9,6.6,5.5,5.6,6.2
Finland,4.5,5.2,5.4,5.9,6.1,5.7,5.3,4.7,4.7,4.5
Sweden,8.6,6.9,8.4,9.2,8.0,8.2,7.7,8.1,7.8,7.4
United Kingdom,16.0,15.0,15.5,16.8,18.2,16.9,17.9,15.5,17.4,:
Iceland,19.1,17.8,16.1,16.3,18.5,18.2,15.7,19.3,18.9,:
Norway,8.1,8.4,8.0,7.8,8.4,7.4,6.5,7.2,6.2,:
Switzerland,8.3,9.0,9.4,11.6,13.8,12.2,12.1,12.5,13.5,:
Former Yugoslav Republic of Macedonia,:,:,24.5,16.2,13.9,14.1,14.4,11.7,13.5,:
Serbia,:,:,:,:,:,21.8,26.2,23.5,21.4,:
Turkey,36.8,40.0,:,39.5,38.5,37.8,35.5,37.3,36.4,:
