geo,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Belgium,15.0,11.1,16.3,19.4,15.6,13.5,14.3,14.9,16.5,14.4
Bulgaria,30.4,25.1,18.6,14.9,15.3,12.9,12.7,12.8,12.2,13.2
Czechia,13.6,13.4,10.8,11.7,9.4,8.8,7.6,7.6,7.6,6.9
Denmark,3.9,4.6,3.8,9.9,7.7,8.1,8.2,8.9,8.7,7.0
Germany,9.4,9.3,8.8,10.1,9.3,8.8,7.3,7.5,8.4,7.6
Estonia,25.5,24.4,23.8,24.4,23.3,21.5,18.5,19.6,20.2,18.8
Ireland,16.6,19.3,16.1,12.1,11.0,15.9,15.4,15.1,11.3,:
Greece,27.2,24.8,22.4,19.9,19.3,17.0,15.2,14.5,16.7,15.2
Spain,20.6,21.3,23.8,15.7,14.2,16.7,15.7,12.2,13.0,11.5
France,12.1,11.2,9.5,8.3,7.8,9.3,9.6,8.6,8.4,8.6
Croatia,:,:,28.7,24.9,22.8,22.4,18.3,16.2,17.2,18.4
Italy,24.8,24.4,23.0,26.8,22.3,23.0,24.1,24.2,22.6,17.3
Cyprus,40.8,39.2,41.2,37.9,34.5,34.8,29.2,31.3,30.2,31.4
Latvia,27.5,25.2,26.1,25.6,25.1,25.6,25.9,26.1,21.5,21.6
Lithuania,30.5,24.7,21.5,22.1,18.4,21.1,19.9,19.9,19.9,19.5
Luxembourg,13.2,13.1,14.5,9.3,10.0,9.2,10.7,9.4,13.8,13.8
Hungary,35.3,20.4,28.3,27.3,31.0,28.7,30.2,26.7,27.6,28.0
Malta,12.5,18.4,20.3,25.5,22.4,21.8,21.4,19.9,19.7,16.6
Netherlands,8.2,10.3,8.9,7.7,8.5,9.3,13.5,13.4,10.7,9.9
Austria,9.0,11.9,11.4,10.6,7.6,8.6,8.3,7.9,7.2,7.6
Poland,26.1,19.8,17.2,12.4,11.0,10.3,10.2,12.4,12.5,11.6
Portugal,29.1,31.2,32.1,29.0,27.1,32.9,35.7,31.1,33.1,27.3
Romania,36.9,34.9,32.9,31.1,28.5,25.3,21.2,17.5,17.0,17.2
Slovenia,35.2,35.6,35.7,37.5,34.8,32.5,34.7,26.7,25.8,26.3
Slovakia,15.2,11.3,9.0,13.0,13.6,11.0,10.1,8.3,7.5,6.9
Finland,4.0,5.0,2.6,4.1,4.4,3.9,4.3,4.2,4.5,2.5
Sweden,3.0,3.8,6.1,4.3,4.8,3.2,6.0,4.6,5.7,7.1
United Kingdom,7.9,8.0,8.3,9.4,7.2,8.5,9.0,8.8,10.4,:
Iceland,14.3,5.7,8.2,5.9,7.5,8.6,9.5,8.8,13.4,:
Norway,7.5,5.4,7.5,7.7,5.1,4.6,3.8,5.4,2.8,:
Switzerland,4.4,3.9,5.2,5.2,4.9,6.0,4.9,5.9,4.8,:
Former Yugoslav Republic of Macedonia,:,:,30.7,19.9,18.8,20.7,21.2,20.3,15.5,:
Serbia,:,:,:,:,:,24.3,29.2,30.0,27.2,:
Turkey,33.2,46.6,:,51.5,46.5,45.1,42.1,46.2,45.0,:
