geo,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Belgium,20.0,18.3,23.0,25.2,21.6,20.8,21.0,22.0,22.5,22.0
Bulgaria,34.0,25.9,19.2,19.2,18.3,18.5,17.8,15.1,14.5,13.8
Czechia,14.8,16.8,12.1,13.4,11.8,11.6,11.2,9.7,9.4,9.2
Denmark,10.7,9.0,9.4,20.0,21.2,21.2,17.4,19.5,19.0,18.8
Germany,17.5,17.7,15.9,16.8,16.4,15.2,14.6,14.2,16.7,14.9
Estonia,17.3,22.2,20.7,20.7,20.1,16.2,16.1,11.9,13.2,13.5
Ireland,12.4,13.0,11.8,12.1,14.4,14.1,14.9,15.0,14.9,:
Greece,17.0,15.6,15.2,14.3,11.7,13.9,13.6,14.2,13.7,11.7
Spain,16.7,19.2,23.4,17.8,12.5,17.8,18.1,16.6,18.7,12.2
France,13.7,14.6,15.1,12.2,15.3,15.0,16.0,15.5,17.7,12.9
Croatia,:,:,19.7,13.3,10.7,10.3,10.4,9.7,9.7,10.3
Italy,20.0,21.1,20.5,23.0,22.1,22.6,25.4,25.2,20.3,15.4
Cyprus,24.4,28.1,29.1,27.8,28.5,29.0,22.9,23.5,25.2,28.5
Latvia,27.0,28.3,26.3,26.6,30.4,29.9,28.6,25.6,22.4,22.2
Lithuania,28.2,21.5,19.0,19.3,16.9,19.9,19.2,16.5,19.8,18.2
Luxembourg,19.8,21.5,19.9,18.3,20.7,18.4,17.8,16.4,20.4,19.3
Hungary,33.7,16.5,28.9,27.1,29.4,30.9,31.5,29.2,31.4,29.4
Malta,6.8,8.8,11.1,4.7,5.4,8.9,8.9,9.3,7.2,6.7
Netherlands,16.7,15.4,17.5,16.1,18.4,15.9,17.3,16.0,17.8,14.6
Austria,15.2,17.2,16.8,17.4,15.6,16.8,13.0,14.8,12.5,14.4
Poland,23.8,18.8,17.0,12.8,11.4,11.0,9.8,12.7,12.0,12.4
Portugal,18.3,18.6,22.6,21.6,21.7,33.7,32.6,28.1,29.9,25.6
Romania,26.9,24.3,20.5,20.7,18.0,20.4,18.3,16.8,18.2,13.8
Slovenia,27.4,29.3,30.1,34.0,30.9,26.1,29.3,25.0,22.3,19.7
Slovakia,10.0,6.4,6.5,10.2,10.5,9.9,8.0,8.2,7.3,8.4
Finland,4.7,4.8,5.0,6.5,7.2,5.5,5.4,4.6,5.5,4.7
Sweden,9.6,8.2,8.8,10.0,9.6,9.7,10.3,9.9,8.2,7.7
United Kingdom,18.2,18.4,18.8,18.8,21.9,19.5,20.1,18.6,20.7,:
Iceland,24.7,20.5,19.1,19.5,23.7,22.3,20.7,25.0,23.3,:
Norway,9.9,9.6,9.2,8.8,9.9,7.7,6.8,7.7,8.3,:
Switzerland,10.4,11.5,11.2,13.2,16.2,15.4,14.2,15.7,17.0,:
Former Yugoslav Republic of Macedonia,:,:,23.7,18.0,15.0,14.8,17.2,12.7,15.4,:
Serbia,:,:,:,:,:,21.9,26.3,22.2,21.3,:
Turkey,43.1,46.4,:,45.3,44.4,43.1,40.1,41.9,41.1,:
